company_Name,domain,server,ip,organization
Resilia,resilia.com,Squarespace,198.49.23.144,"AS53831 Squarespace, Inc."
Securiti,securiti.ai,cloudflare,172.67.68.185,"AS13335 Cloudflare, Inc."
Particle Health,particlehealth.com,,34.209.167.56,"AS16509 Amazon.com, Inc."
Kriya Therapeutics,kriyatherapeutics.com,cloudflare,104.21.63.119,"AS13335 Cloudflare, Inc."
Logiwa,logiwa.com,nginx,35.199.32.25,AS396982 Google LLC
Aisera,aisera.com,cloudflare,141.193.213.10,"AS209242 Cloudflare London, LLC"
SpinLaunch,spinlaunch.com,,,AS24940 Hetzner Online GmbH
Pie Insurance,pieinsurance.com,cloudflare,141.193.213.10,"AS209242 Cloudflare London, LLC"
Yellow Card,yellowcard.io,cloudflare,104.18.0.88,"AS13335 Cloudflare, Inc."
Firework,fireworkhq.com,,,AS24940 Hetzner Online GmbH
Golden,golden.co,,,AS24940 Hetzner Online GmbH
Subtle Medical,subtlemedical.com,,,AS24940 Hetzner Online GmbH
Finexio,finexio.com,,52.25.204.60,"AS16509 Amazon.com, Inc."
Fortanix,fortanix.com,CloudFront,18.161.6.35,"AS16509 Amazon.com, Inc."
Infinitum Electric,infinitumelectric.com,,,AS24940 Hetzner Online GmbH
JupiterOne,jupiterone.com,,34.209.167.56,"AS16509 Amazon.com, Inc."
ClassDojo,classdojo.com,AmazonS3,18.161.6.99,"AS16509 Amazon.com, Inc."
NeuroFlow,neuroflow.com,,,AS24940 Hetzner Online GmbH
VUZ,360vuz.com,,,AS24940 Hetzner Online GmbH
Astronomer,astronomer.io,Netlify,34.83.11.4,AS396982 Google LLC
Hint Health,hint.com,,,AS24940 Hetzner Online GmbH
Zip,ziphq.com,,52.11.45.250,"AS16509 Amazon.com, Inc."
Resilience,resilence.com,nginx,104.247.82.53,AS206834 Team Internet AG
SubjectWell,subjectwell.com,Flywheel/5.1.0,151.101.2.159,"AS54113 Fastly, Inc."
Tibit Communications,tibitcom.com,nginx,35.247.81.19,AS396982 Google LLC
Alto Neuroscience,altoneuroscience.com,,34.209.167.56,"AS16509 Amazon.com, Inc."
Mesh Payments,meshpayments.com,,,AS24940 Hetzner Online GmbH
Expel,expel.com,nginx,35.173.74.67,"AS14618 Amazon.com, Inc."
Meati,meati.com,GatsbyHosting,199.232.198.22,"AS54113 Fastly, Inc."
Brave,brave.com,AmazonS3,18.172.170.4,"AS16509 Amazon.com, Inc."
Swimlane,swimlane.com,cloudflare,104.26.2.130,"AS13335 Cloudflare, Inc."
HackerRank,hackerrank.com,nginx,2.19.143.98,"AS16625 Akamai Technologies, Inc."
Akash Systems,akashsystemsinc.com,,,AS24940 Hetzner Online GmbH
WorkSpan,workspan.com,,34.209.167.56,"AS16509 Amazon.com, Inc."
Owkin,owkin.com,Netlify,75.2.60.5,"AS16509 Amazon.com, Inc."
Soli Organic,soliorganic.com,cloudflare,162.159.135.42,"AS13335 Cloudflare, Inc."
Patch Technologies,patch.io,,52.25.204.60,"AS16509 Amazon.com, Inc."
Jiko,jiko.io,Netlify,104.198.14.52,AS396982 Google LLC
Digits,digits.com,,34.95.92.107,AS396982 Google LLC
PowerToFly,powertofly.com,,18.161.6.90,"AS16509 Amazon.com, Inc."
tray.io,tray.io,,204.246.191.53,"AS16509 Amazon.com, Inc."
Tive,tive.com,,52.25.204.60,"AS16509 Amazon.com, Inc."
Solid,solidfi.com,,34.209.167.56,"AS16509 Amazon.com, Inc."
Span.IO,span.io,,34.209.167.56,"AS16509 Amazon.com, Inc."
Newfront,newfront.com,Vercel,76.76.21.98,"AS16509 Amazon.com, Inc."
Center,getcenter.com,nginx,23.185.0.3,"AS54113 Fastly, Inc."
HYCU,hycu.com,,151.139.128.10,"AS20446 StackPath, LLC."
Maven Clinic,mavenclinic.com,nginx,34.134.226.239,AS396982 Google LLC
Arize AI,arize.com,cloudflare,162.159.135.42,"AS13335 Cloudflare, Inc."
ZeroAvia,zeroavia.com,,199.15.163.128,AS58182 Wix.com Ltd.
Teleport,goteleport.com,cloudflare,104.18.6.23,"AS13335 Cloudflare, Inc."
Cellarity,cellarity.com,Sucuri/Cloudproxy,192.124.249.106,AS30148 Sucuri
Flueid,flueid.com,AmazonS3,99.84.66.4,"AS16509 Amazon.com, Inc."
Wonder,wonder.com,Squarespace,198.49.23.145,"AS53831 Squarespace, Inc."
Brightline,emiliohealth.com,,,AS24940 Hetzner Online GmbH
Casma Therapeutics,casmatx.com,nginx,104.196.53.7,AS396982 Google LLC
